"","X_type","url","date","rawContent","renderedContent","id","replyCount","retweetCount","likeCount","quoteCount","conversationId","lang","source_url","nofollow","source_device","sourceLabel","retweetedTweet","inReplyToTweetId","longitude","latitude","hashtags","cashtags","viewCount","vibe"
"33","snscrape.modules.twitter.Tweet","https://twitter.com/TheArcAurora/status/1621551344854122498","2023-02-03 16:49:02+00:00","It’s time for another Fast Fact Friday! 

Recently, JanSport and other large brands have begun creating adaptive fashion accessories that are both functional and look fashionable. There are many things that go into creating an accessible bag. 
Here are just a few: https://t.co/mXNCFixSw6","It’s time for another Fast Fact Friday! 

Recently, JanSport and other large brands have begun creating adaptive fashion accessories that are both functional and look fashionable. There are many things that go into creating an accessible bag. 
Here are just a few: https://t.co/mXNCFixSw6",1621551344854122240,1,0,0,0,1621551344854122240,"en","https://buffer.com","nofollow","Buffer","Buffer",NA,NA,NA,NA,NA,NA,16,NA
"34","snscrape.modules.twitter.Tweet","https://twitter.com/artnews/status/1621551298314125312","2023-02-03 16:48:51+00:00","Anish Kapoor's New York ""mini-Bean,"" comes off as the tacky fast-fashion cousin of its designer Chicago counterpart. https://t.co/U4MRLuzkzT","Anish Kapoor's New York ""mini-Bean,"" comes off as the tacky fast-fashion cousin of its designer Chicago counterpart. artnews.com/art-news/news/…",1621551298314125056,0,5,19,2,1621551298314125056,"en","https://about.twitter.com/products/tweetdeck","nofollow","TweetDeck","TweetDeck",NA,NA,NA,NA,NA,NA,2679,NA
"35","snscrape.modules.twitter.Tweet","https://twitter.com/eggxistoast/status/1621547140186259456","2023-02-03 16:32:19+00:00","i need to make fashionable fast fashion hammer and sickle merch to make a point on political aesthetic without praxis. https://t.co/oWipz6RViw","i need to make fashionable fast fashion hammer and sickle merch to make a point on political aesthetic without praxis. https://t.co/oWipz6RViw",1621547140186259456,2,0,2,0,1621547140186259456,"en","https://mobile.twitter.com","nofollow","Twitter Web App","Twitter Web App",NA,NA,NA,NA,NA,NA,408,NA
"36","snscrape.modules.twitter.Tweet","https://twitter.com/tehyajailyn/status/1621546820831682562","2023-02-03 16:31:03+00:00","The clothes these “brands” “fast fashion” sites are putting out are strictly for the bbl baddies. 
I just don’t like wearing shit like that. Not a fan of how it suits my body.","The clothes these “brands” “fast fashion” sites are putting out are strictly for the bbl baddies. 
I just don’t like wearing shit like that. Not a fan of how it suits my body.",1621546820831682560,0,0,0,0,1621546820831682560,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,41,NA
"37","snscrape.modules.twitter.Tweet","https://twitter.com/tbslbvc/status/1621545621994995714","2023-02-03 16:26:17+00:00","astro is actually still a lot cheaper compared to other sustainable brands but of course i dont expect fast fashion consumers to know this","astro is actually still a lot cheaper compared to other sustainable brands but of course i dont expect fast fashion consumers to know this",1.621545621995e+18,0,3,9,0,1.621545621995e+18,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,354,NA
"38","snscrape.modules.twitter.Tweet","https://twitter.com/CarlLately/status/1621544488261787649","2023-02-03 16:21:47+00:00","The average fast fashion consumer will buy 68 items a year. There’s so much pushback when we ask you to stop doing that","The average fast fashion consumer will buy 68 items a year. There’s so much pushback when we ask you to stop doing that",1621544488261787648,0,0,0,0,1621544488261787648,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,59,NA
"39","snscrape.modules.twitter.Tweet","https://twitter.com/jugodechinola__/status/1621543210676805633","2023-02-03 16:16:42+00:00","There's no point in advocating against fast fashion if you're still gonna promote overconsumption","There's no point in advocating against fast fashion if you're still gonna promote overconsumption",1621543210676805632,0,0,0,0,1621543210676805632,"en","http://twitter.com/download/android","nofollow","Android","Twitter for Android",NA,NA,NA,NA,NA,NA,9,NA
"40","snscrape.modules.twitter.Tweet","https://twitter.com/psulibs/status/1621541739692544003","2023-02-03 16:10:52+00:00","#PennState students: Learn about the environmental, human and financial impacts of fast fashion and explore slow sustainable alternatives that may better align with your beliefs as informed consumers. https://t.co/34yuWpWdtY https://t.co/jK6QfxRQrS","#PennState students: Learn about the environmental, human and financial impacts of fast fashion and explore slow sustainable alternatives that may better align with your beliefs as informed consumers. psu.edu/news/universit… https://t.co/jK6QfxRQrS",1621541739692544000,0,1,2,0,1621541739692544000,"en","http://twitter.com/#!/download/ipad","nofollow","iPad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","snscrape.modules.twitter.Tweet","https://twitter.com/loverforBbright/status/1621540470982598656","2023-02-03 16:05:49+00:00","it's really important to work w/ people who share the same values and vision. durability, quality as a price, which is why not many brands do it and why fast fashion is so affordable. Will always be proud of bright, for not just making a brand like that but w/ a sensible concept","it's really important to work w/ people who share the same values and vision. durability, quality as a price, which is why not many brands do it and why fast fashion is so affordable. Will always be proud of bright, for not just making a brand like that but w/ a sensible concept",1621540470982598656,0,8,16,0,1621540470982598656,"en","http://twitter.com/download/iphone","nofollow","iPhone","Twitter for iPhone",NA,NA,NA,NA,NA,NA,365,NA
"42","snscrape.modules.twitter.Tweet","https://twitter.com/artsysister/status/1621540051015319556","2023-02-03 16:04:09+00:00","🤯 You won’t believe this! #Puella Magi Madoka Magica Tomoe Mami (1/6 Scale Fashion Doll) [JAPAN] 
by #BJD ⏩ https://t.co/wQDgae1rwS
🚀 Selling out fast so be quick! 🚀
#CUTE #ADORABLE #DECOR #COLORFUL https://t.co/qJnXtLlzEA","🤯 You won’t believe this! #Puella Magi Madoka Magica Tomoe Mami (1/6 Scale Fashion Doll) [JAPAN] 
by #BJD ⏩ shortlink.store/IDBp3nuSFw
🚀 Selling out fast so be quick! 🚀
#CUTE #ADORABLE #DECOR #COLORFUL https://t.co/qJnXtLlzEA",1621540051015319552,0,0,0,0,1621540051015319552,"en","https://www.mykapusta.com/post-studio","nofollow","Post Studio","Post Studio",NA,NA,NA,NA,"['Puella', 'BJD', 'CUTE', 'ADORABLE', 'DECOR', 'COLORFUL']",NA,8,NA
